Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precip,Precipprob,Precipcover,Snow,Snowdepth,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Severerisk,Sunrise,SunriseEpoch,Sunset,SunsetEpoch,Moonphase,Conditions,Description,Icon,Stations,Source
2022-09-01,1661965200,31.7,25.0,28.6,38.4,25.0,34.0,25.5,83.4,11.073,100.0,8.33,0.0,0.0,50.0,17.5,343.1,1009.0,52.6,9.3,262.4,22.8,9.0,30.0,05:40:07,1661985607,18:13:02,1662030782,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-02,1662051600,34.5,26.0,30.2,41.2,26.0,35.1,24.4,72.6,0.072,100.0,4.17,0.0,0.0,18.7,10.3,354.2,1008.1,63.4,9.5,296.3,25.4,10.0,10.0,05:40:23,1662072023,18:12:08,1662117128,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-03,1662138000,34.7,27.0,30.8,44.2,31.2,37.6,25.4,73.9,0.241,100.0,4.17,0.0,0.0,29.2,15.7,97.7,1005.4,44.4,8.6,261.3,22.6,9.0,30.0,05:40:38,1662158438,18:11:14,1662203474,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-04,1662224400,30.5,25.0,27.6,35.9,25.0,30.6,23.9,80.7,2.096,100.0,8.33,0.0,0.0,38.9,20.3,357.0,1007.3,80.2,9.4,201.4,17.5,9.0,10.0,05:40:53,1662244853,18:10:20,1662289820,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-05,1662310800,34.2,26.0,29.4,37.3,26.0,31.6,22.3,67.7,0.0,0.0,0.0,0.0,0.0,29.5,11.2,313.6,1007.8,51.9,10.6,277.7,23.8,10.0,10.0,05:41:08,1662331268,18:09:25,1662376165,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-06,1662397200,35.7,25.0,30.1,38.7,25.0,32.4,21.9,64.3,0.0,0.0,0.0,0.0,0.0,29.5,10.3,333.1,1008.3,36.9,11.8,299.6,26.0,10.0,10.0,05:41:23,1662417683,18:08:30,1662462510,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-07,1662483600,34.5,26.0,28.9,39.4,26.0,31.9,23.4,73.9,1.952,100.0,4.17,0.0,0.0,48.2,14.8,359.7,1010.9,68.7,9.2,238.7,20.6,10.0,10.0,05:41:38,1662504098,18:07:35,1662548855,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-08,1662570000,30.0,25.0,26.4,36.8,25.0,28.0,24.5,89.6,100.422,100.0,16.67,0.0,0.0,31.7,26.8,31.9,1012.7,83.4,8.4,11.6,1.0,1.0,10.0,05:41:52,1662590512,18:06:39,1662635199,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-09,1662656400,30.0,24.8,26.9,35.1,24.8,29.2,24.0,84.6,28.123,100.0,16.67,0.0,0.0,20.2,9.4,341.5,1013.3,56.8,8.9,26.3,2.2,1.0,10.0,05:42:07,1662676927,18:05:43,1662721543,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-10,1662742800,31.5,25.4,28.1,37.2,25.4,31.0,24.3,81.1,18.252,100.0,12.5,0.0,0.0,16.9,10.3,207.1,1011.9,62.9,9.2,154.7,13.3,7.0,30.0,05:42:21,1662763341,18:04:47,1662807887,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-11,1662829200,32.5,26.0,28.7,38.0,26.0,32.2,24.3,78.3,1.5,100.0,20.83,0.0,0.0,23.8,12.1,70.8,1009.9,42.8,9.5,247.3,21.3,9.0,60.0,05:42:36,1662849756,18:03:51,1662894231,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-12,1662915600,33.0,26.0,29.4,39.3,26.0,33.5,24.1,74.3,1.8,100.0,16.67,0.0,0.0,16.6,12.1,51.0,1009.0,42.5,9.5,107.0,9.2,5.0,10.0,05:42:50,1662936170,18:02:54,1662980574,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-13,1663002000,33.1,26.0,29.3,39.9,26.0,34.1,24.7,77.3,0.2,100.0,4.17,0.0,0.0,7.6,11.5,332.5,1009.2,39.1,7.9,287.7,25.0,9.0,30.0,05:43:05,1663022585,18:01:57,1663066917,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-14,1663088400,34.5,26.0,29.9,40.6,26.0,34.5,24.2,72.8,0.0,0.0,0.0,0.0,0.0,18.0,11.2,307.1,1008.6,31.4,8.0,285.9,24.8,9.0,30.0,05:43:19,1663108999,18:01:01,1663153261,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-15,1663174800,34.5,26.5,30.2,42.6,26.5,35.9,25.0,74.7,1.171,100.0,4.17,0.0,0.0,30.6,14.8,99.4,1005.9,37.6,8.4,263.0,22.7,9.0,60.0,05:43:33,1663195413,18:00:04,1663239604,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-16,1663261200,31.4,26.0,28.4,39.4,26.0,33.3,25.1,82.5,0.098,100.0,4.17,0.0,0.0,26.3,16.6,94.6,1004.1,58.8,9.4,144.6,12.7,7.0,75.0,05:43:47,1663281827,17:59:06,1663325946,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-17,1663347600,32.0,25.7,27.9,39.2,25.7,31.1,24.6,82.9,0.779,100.0,4.17,0.0,0.0,20.2,14.8,82.3,1006.1,54.2,9.8,190.0,16.4,8.0,30.0,05:44:02,1663368242,17:58:09,1663412289,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
2022-09-18,1663434000,34.2,25.5,29.6,39.9,25.5,33.6,24.6,76.1,0.002,100.0,4.17,0.0,0.0,25.6,11.2,139.3,1006.7,22.3,8.3,280.2,24.0,9.0,30.0,05:44:16,1663454656,17:57:12,1663498632,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48820099999', '48823099999', '48825099999', '48831099999', 'VVNB']",obs
